id_producto,productos_descripcion,name,description,brand,specs,category,ingredients,specs_parsed,specs_dict,Size,Country of Origin,Countries,Stores,Alcohol %,Weight,Color,Unit Size & Type,Vintage,Style,Length,Product Group,Model Number,Width,Binding,Part Number,Manufacturer,Height,Number Of Items,volume_raw,volume_ml
1111118,KONIGSBACHER CERVEZA ALEMANA DE TRIGO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456217,Cerveza MILLER Genuine Draft 330CC BOT-0.33-lt.,Miller Genuine Draft Botella,No description found.,Miller,[],,,[],{},,,,,,,,,,,,,,,,,,,,,
75001629,cerveza SOL Rubia 330cc BOT-330-cc.,Sol Cerveza,"Gezond bier dat niet te veel koolzuur bevat. Met de frisse smaak van limoen is het een perfecte dorstlesser tijdens intensieve arbeid. Momenteel is het een hip en trendy bier dat wereldwijd wordt geassocieerd met, hoe kan het ook anders, zon, zee enstrand. Ook hier is dus een brug geslagen tussen de originele traditie van Mexico naar de huidige biermarkt. Deze Mexicaanse schoonheid drinkt men uit de fles. De toevoeging van een schijfje limoen maakt de smaak extra fris en dorstlessend.",Sol,[],Beer,"{'text': 'Water, Barley Malt, High Maltose Syrup And Hops. This Product Is Made With Barley Malt. It Contains Gluten'}",[],{},355 Ml,Mexico,,,,,,,,,,,,,,,,,,,
75032715,cerveza CORONA Rubia 330cc BOT-330-cc.,Corona Extra Cerveza Botella 355 Ml,"Is famous around the world for its smooth, refreshing taste. It displays a well-rounded character with pleasant malt and hop aromas. Garnish your Corona beer traditionally with a lime wedge to heighten the citrus aromas and flavours.",Corona,"[['Size', '355 Ml'], ['Country of Origin', 'Mexico']]",Beer,"{'text': '5 Ingredients Water, Barley Malt, Corn, Rice, Hops'}","[['Size', '355 Ml'], ['Country of Origin', 'Mexico']]","{'Size': '355 Ml', 'Country of Origin': 'Mexico'}",,,,,,,,,,,,,,,,,,,,355 ml,355.0
656750797167,CERVEZA BOCATOMA AMERICAN AMB ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656750797174,CERVEZA BOCATOMA SESSION IPA  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656750817315,cerveza ORTUZAR Golden 473cc LAT-0.473-lt.,Ortuzar Cerveza Golden 473 Ml,"Disfrutá la Cerveza Ortuzar Golden 473ml Elegí la Cerveza Ortuzar Golden 473ml para brindarle a tus momentos un toque de frescura y sabor único. Esta cerveza es perfecta para compartir con amigos o disfrutar en tu casa después de un largo día. Porque elegir Cerveza Ortuzar Golden 473ml Un sabor ligero y refrescante, ideal para cualquier ocasión. Perfecta para acompañar picadas o platos livianos. Formato de 473ml, fácil de llevar y compartir. Elaborada con ingredientes de alta calidad, garantizando una experiencia excepcional. Sumá esta cerveza a tu próxima reunión y disfrutá de cada sorbo. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",Ortuzar,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 ml,473.0
656750817322,cerveza ORTUZAR Scottish 473cc LAT-0.473-lt.,Ortuzar Cerveza Scottish 473 Ml,"Descubrí la Cerveza Ortuzar Scottish 473ml Elegí la Cerveza Ortuzar Scottish 473ml para disfrutar de un sabor robusto y único que realza tus momentos de relax. Con su carácter maltoso y su toque de caramelo, es la compañera ideal para esas noches especiales. Porque elegir Cerveza Ortuzar Scottish 473ml Un perfil de sabor profundo, con notas de malta y un ligero dulzor. Perfecta para acompañar platos contundentes o disfrutar sola. Formato de 473ml, ideal para compartir o disfrutar en solitario. Elaborada con ingredientes seleccionados, asegurando calidad y autenticidad. Sumá esta cerveza a tu próxima reunión y sorprende a todos. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",Ortuzar,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 ml,473.0
656750817339,cerveza ORTUZAR Honey 473cc LAT-0.473-lt.,Ortuzar Cerveza Honey 473 Ml,"Descubrí la Cerveza Ortuzar Honey 473ml Elegí la Cerveza Ortuzar Honey 473ml para darle un toque dulce y único a tus momentos. Con su sabor suave y la sutileza de la miel, es la opción perfecta para quienes buscan algo diferente y especial. Porque elegir Cerveza Ortuzar Honey 473ml Un sabor distintivo que combina malta y miel para un balance perfecto. Ideal para disfrutar solo o en compañía, realzando cualquier reunión. Formato de 473ml, perfecto para compartir o para un momento de relax. Elaborada con ingredientes seleccionados, garantizando calidad en cada sorbo. Sumá esta cerveza a tu lista y sorprende a tus invitados. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",Ortuzar,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 ml,473.0
656750817346,cerveza ORTUZAR German Pils 473cc LAT-0.473-lt.,Ortuzar Cerveza German Pils 473 Ml,No description found.,Ortuzar,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 ml,473.0
656750817353,cerveza ORTUZAR Porter 473cc LAT-0.473-lt.,Cerveza Porter Ortuzar 473cc,No description found.,,[],,,[],{},,,,,,,,,,,,,,,,,,,,473cc,473.0
656750817360,cerveza ORTUZAR Dubbel 473cc LAT-0.473-lt.,Ortuzar Cerveza Dubbel 473 Ml,"Descubrí la Cerveza Ortuzar Dubbel 473 Ml Elegí la Cerveza Ortuzar Dubbel 473 Ml para elevar tus momentos. Con su sabor intenso y aromático, esta cerveza es perfecta para quienes buscan una experiencia única y satisfactoria. Porque elegir Cerveza Ortuzar Dubbel 473 Ml Sabor robusto con notas de caramelo y malta tostada. Ideal para disfrutar en una cena o en una charla con amigos. Formato de 473 ml, perfecto para compartir o disfrutar solo. Elaborada con ingredientes de calidad que resaltan su carácter. Sumá un toque especial a tus reuniones con esta cerveza excepcional. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",Ortuzar,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 ml,473.0
656750817377,cerveza ORTUZAR Ipa 473cc LAT-0.473-lt.,Ortuzar Cerveza Session Ipa 473cc,No description found.,Ortuzar,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473cc,473.0
656750817384,CERVEZA POKER C/BOURBON ORTUZAR LAT 473 ML,Ortuzar Cerveza Poker 473 Ml,"Descubrí la Cerveza Ortuzar Poker 473 Ml Elegí la Cerveza Ortuzar Poker 473 Ml y llevá tu experiencia cervecera al siguiente nivel. Su sabor fresco y equilibrado es ideal para disfrutar en cualquier ocasión. Porque elegir Cerveza Ortuzar Poker 473 Ml Sabor refrescante que complementa cualquier comida. Perfecta para compartir en reuniones con amigos y familia. Formato de 473 ml, ideal para disfrutar solo o en compañía. Producida con ingredientes de alta calidad para un sabor inconfundible. Transformá tus momentos con esta cerveza excepcional. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",Ortuzar,[],Beer,,[],{},50 Cl,,France,,,,,,,,,,,,,,,,,473 ml,473.0
790757845794,CERVEZA HONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3162330450010,CERVEZA LAGER STARBERG LAT 500 ML,Cerveza Starberg Lager 500 Ml,No description found.,,"[['Size', '50 Cl'], ['Countries', 'France']]",,,"[['Size', '50 Cl'], ['Countries', 'France']]","{'Size': '50 Cl', 'Countries': 'France'}",,,Argentina,Dia,,,,,,,,,,,,,,,,500 ml,500.0
4002631022679,CERVEZA EN LATA,St. Wendeler Cerveza Rubia 500 Ml,No description found.,St. Wendeler,"[['Countries', 'Argentina'], ['Stores', 'Dia']]",Beer,"{'text': 'Agua, Malta De Cebada, Extracto De Lúpulo'}","[['Countries', 'Argentina'], ['Stores', 'Dia']]","{'Countries': 'Argentina', 'Stores': 'Dia'}",33 Cl,,France,,,,,,,,,,,,,,,,,500 ml,500.0
4002631022792,CERVEZA ALEMANA,St Wendeler Cerveza Alemana 330 Ml,No description found.,St Wendeler,"[['Size', '33 Cl'], ['Countries', 'France']]",Beer,"{'text': ""Eau, Malt D'_orge_, Extrait De Houblon.""}","[['Size', '33 Cl'], ['Countries', 'France']]","{'Size': '33 Cl', 'Countries': 'France'}",,,,,,,,,,,,,,,,,,,,330 ml,330.0
4002631024147,CERVEZA NEGRA BLACK,St Wendeler Cerveza Negra 500 Ml,No description found.,St Wendeler,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,500 ml,500.0
4002631024161,CERVEZA LAGER,St Wendeler Cerveza Lager 500 Ml,No description found.,St Wendeler,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,500 ml,500.0
4002631024192,CERVEZA TRIGO,St Wendeler Cerveza Trigo 500 Ml,No description found.,St Wendeler,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,500 ml,500.0
4015042107866,CERVEZA PILSENER MECKLENBURGER X 500 CC.,Mecklenburger Cerveza Pilsener 500ml,No description found.,Mecklenburger,[],Beer,,[],{},,,Italy,,,,,,,,,,,,,,,,,500ml,500.0
4015042108818,CERVEZA WEIBIER TRIGO MECKLENBURGER X 500 CC,"Mecklenburger Пиво Weissbier Светлое 5,1% 0,5л",No description found.,Mecklenburger,"[['Countries', 'Italy']]",Beer,,"[['Countries', 'Italy']]",{'Countries': 'Italy'},,,,,,,,,,,,,,,,,,,,,
