name,description,region,imageUrl,brand,specs,category,upc,ean,ean8,id_producto,categoryPath,ingredients
Seat Cinturón Seguridad Delantero Versa 2015 2016 2017 2018 2019 (Usado),"Horquilla Izquierda completamente original seminueva retirada de unidad con 19 mil km y compatible con SEAT león 2014 al 2020, 3 meses de garantía.",USA or Canada,https://go-upc.s3.amazonaws.com/images/232115390.jpeg,Seat,[],,,,1111118.0,1111118,,
Miller Genuine Draft Botella,No description found.,USA or Canada,https://go-upc.s3.amazonaws.com/images/212011254.jpeg,Miller,[],,,,3456217.0,3456217,,
Sol Cerveza,"Gezond bier dat niet te veel koolzuur bevat. Met de frisse smaak van limoen is het een perfecte dorstlesser tijdens intensieve arbeid. Momenteel is het een hip en trendy bier dat wereldwijd wordt geassocieerd met, hoe kan het ook anders, zon, zee enstrand. Ook hier is dus een brug geslagen tussen de originele traditie van Mexico naar de huidige biermarkt. Deze Mexicaanse schoonheid drinkt men uit de fles. De toevoeging van een schijfje limoen maakt de smaak extra fris en dorstlessend.",Unknown,https://go-upc.s3.amazonaws.com/images/103016977.png,Sol,[],Beer,,,75001629.0,75001629,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Water, Barley Malt, High Maltose Syrup And Hops. This Product Is Made With Barley Malt. It Contains Gluten'}"
Corona Extra Cerveza Botella 355 Ml,"Is famous around the world for its smooth, refreshing taste. It displays a well-rounded character with pleasant malt and hop aromas. Garnish your Corona beer traditionally with a lime wedge to heighten the citrus aromas and flavours.",Unknown,https://go-upc.s3.amazonaws.com/images/201313900.jpeg,Corona,"[['Size', '355 Ml'], ['Country of Origin', 'Mexico']]",Beer,,,75032715.0,75032715,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': '5 Ingredients Water, Barley Malt, Corn, Rice, Hops'}"
Ortuzar Cerveza Golden 473 Ml,"Disfrutá la Cerveza Ortuzar Golden 473ml Elegí la Cerveza Ortuzar Golden 473ml para brindarle a tus momentos un toque de frescura y sabor único. Esta cerveza es perfecta para compartir con amigos o disfrutar en tu casa después de un largo día. Porque elegir Cerveza Ortuzar Golden 473ml Un sabor ligero y refrescante, ideal para cualquier ocasión. Perfecta para acompañar picadas o platos livianos. Formato de 473ml, fácil de llevar y compartir. Elaborada con ingredientes de alta calidad, garantizando una experiencia excepcional. Sumá esta cerveza a tu próxima reunión y disfrutá de cada sorbo. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",USA or Canada,https://go-upc.s3.amazonaws.com/images/166466531.jpeg,Ortuzar,[],Beer,656750817315.0,656750817315.0,,656750817315,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Ortuzar Cerveza Scottish 473 Ml,"Descubrí la Cerveza Ortuzar Scottish 473ml Elegí la Cerveza Ortuzar Scottish 473ml para disfrutar de un sabor robusto y único que realza tus momentos de relax. Con su carácter maltoso y su toque de caramelo, es la compañera ideal para esas noches especiales. Porque elegir Cerveza Ortuzar Scottish 473ml Un perfil de sabor profundo, con notas de malta y un ligero dulzor. Perfecta para acompañar platos contundentes o disfrutar sola. Formato de 473ml, ideal para compartir o disfrutar en solitario. Elaborada con ingredientes seleccionados, asegurando calidad y autenticidad. Sumá esta cerveza a tu próxima reunión y sorprende a todos. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",USA or Canada,https://go-upc.s3.amazonaws.com/images/125345767.jpeg,Ortuzar,[],Beer,656750817322.0,656750817322.0,,656750817322,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Ortuzar Cerveza Honey 473 Ml,"Descubrí la Cerveza Ortuzar Honey 473ml Elegí la Cerveza Ortuzar Honey 473ml para darle un toque dulce y único a tus momentos. Con su sabor suave y la sutileza de la miel, es la opción perfecta para quienes buscan algo diferente y especial. Porque elegir Cerveza Ortuzar Honey 473ml Un sabor distintivo que combina malta y miel para un balance perfecto. Ideal para disfrutar solo o en compañía, realzando cualquier reunión. Formato de 473ml, perfecto para compartir o para un momento de relax. Elaborada con ingredientes seleccionados, garantizando calidad en cada sorbo. Sumá esta cerveza a tu lista y sorprende a tus invitados. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",USA or Canada,https://go-upc.s3.amazonaws.com/images/166466538.jpeg,Ortuzar,[],Beer,656750817339.0,656750817339.0,,656750817339,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Ortuzar Cerveza German Pils 473 Ml,No description found.,USA or Canada,https://go-upc.s3.amazonaws.com/images/125345873.jpeg,Ortuzar,[],Beer,656750817346.0,656750817346.0,,656750817346,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Cerveza Porter Ortuzar 473cc,No description found.,USA or Canada,https://go-upc.s3.amazonaws.com/images/122998361.jpeg,,[],,656750817353.0,656750817353.0,,656750817353,,
Ortuzar Cerveza Dubbel 473 Ml,"Descubrí la Cerveza Ortuzar Dubbel 473 Ml Elegí la Cerveza Ortuzar Dubbel 473 Ml para elevar tus momentos. Con su sabor intenso y aromático, esta cerveza es perfecta para quienes buscan una experiencia única y satisfactoria. Porque elegir Cerveza Ortuzar Dubbel 473 Ml Sabor robusto con notas de caramelo y malta tostada. Ideal para disfrutar en una cena o en una charla con amigos. Formato de 473 ml, perfecto para compartir o disfrutar solo. Elaborada con ingredientes de calidad que resaltan su carácter. Sumá un toque especial a tus reuniones con esta cerveza excepcional. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",USA or Canada,https://go-upc.s3.amazonaws.com/images/166466514.jpeg,Ortuzar,[],Beer,656750817360.0,656750817360.0,,656750817360,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Ortuzar Cerveza Session Ipa 473cc,No description found.,USA or Canada,https://go-upc.s3.amazonaws.com/images/166466550.jpeg,Ortuzar,[],Beer,656750817377.0,656750817377.0,,656750817377,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Ortuzar Cerveza Poker 473 Ml,"Descubrí la Cerveza Ortuzar Poker 473 Ml Elegí la Cerveza Ortuzar Poker 473 Ml y llevá tu experiencia cervecera al siguiente nivel. Su sabor fresco y equilibrado es ideal para disfrutar en cualquier ocasión. Porque elegir Cerveza Ortuzar Poker 473 Ml Sabor refrescante que complementa cualquier comida. Perfecta para compartir en reuniones con amigos y familia. Formato de 473 ml, ideal para disfrutar solo o en compañía. Producida con ingredientes de alta calidad para un sabor inconfundible. Transformá tus momentos con esta cerveza excepcional. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",USA or Canada,https://go-upc.s3.amazonaws.com/images/166466467.jpeg,Ortuzar,[],Beer,656750817384.0,656750817384.0,,656750817384,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Cerveza Starberg Lager 500 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/123267325.jpeg,,"[['Size', '50 Cl'], ['Countries', 'France']]",,,3162330450010.0,,3162330450010,,
St. Wendeler Cerveza Rubia 500 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/86921839.jpeg,St. Wendeler,"[['Countries', 'Argentina'], ['Stores', 'Dia']]",Beer,,4002631022679.0,,4002631022679,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Extracto De Lúpulo'}"
