id_producto|productos_descripcion
1111118|KONIGSBACHER CERVEZA ALEMANA DE TRIGO 
3456217|Cerveza MILLER Genuine Draft 330CC BOT-0.33-lt.
75001629|cerveza SOL Rubia 330cc BOT-330-cc.
75032715|cerveza CORONA Rubia 330cc BOT-330-cc.
656750797167|CERVEZA BOCATOMA AMERICAN AMB 
656750797174|CERVEZA BOCATOMA SESSION IPA  
656750817315|cerveza ORTUZAR Golden 473cc LAT-0.473-lt.
656750817322|cerveza ORTUZAR Scottish 473cc LAT-0.473-lt.
656750817339|cerveza ORTUZAR Honey 473cc LAT-0.473-lt.
656750817346|cerveza ORTUZAR German Pils 473cc LAT-0.473-lt.
656750817353|cerveza ORTUZAR Porter 473cc LAT-0.473-lt.
656750817360|cerveza ORTUZAR Dubbel 473cc LAT-0.473-lt.
656750817377|cerveza ORTUZAR Ipa 473cc LAT-0.473-lt.
656750817384|CERVEZA POKER C/BOURBON ORTUZAR LAT 473 ML
790757845794|CERVEZA HONEY
3162330450010|CERVEZA LAGER STARBERG LAT 500 ML
4002631022679|CERVEZA EN LATA
4002631022792|CERVEZA ALEMANA
4002631024147|CERVEZA NEGRA BLACK
4002631024161|CERVEZA LAGER
4002631024192|CERVEZA TRIGO
4015042107866|CERVEZA PILSENER MECKLENBURGER X 500 CC.
4015042108818|CERVEZA WEIBIER TRIGO MECKLENBURGER X 500 CC
4015042111085|CERVEZA PILSENER MECKLENBURGER X 330 CC
4015042111214|CERVEZA DUNKEL MECKLENBURGER X 500 CC
4015042111641|CERVEZA IPA MECKLENBURGER X 500 CC
5410228141266|cerveza STELLA ARTOIS 330cc porrón BOT-330-cc.
5701598035706|CERVEZA WHEAT BEAR BEER LATA 500 CC
5701598036031|CERVEZA LAGER BEAR BEER LATA 500 CC
5711018037067|CERVEZA SIN ALCOHOL MECKLENBURGER X 500 CC
7020020075539|VASO CERVEZA FREVO NADIR 320ml
7051020098129|VASO CERVEZA STOUT NADIR 473ml
7501064106859|cerveza CORONA Rubia 710cc BOT-710-cc.
