id_comercio|comercio_bandera_nombre|id_producto|productos_descripcion
2|Bomba|7792798003938|CERVEZA VERA IPA LATA, PATAGONIA, 473 cm3
2|La Anonima|7792798003938|CERVEZA VERA IPA LATA, PATAGONIA, 473 cm3
2|Topsy|7792798003938|CERVEZA VERA IPA LATA, PATAGONIA, 473 cm3
2|Bomba|7792798003945|CERVEZA VERA IPA SIX PACK, PATAGONIA, 2838 cm3
2|La Anonima|7792798003945|CERVEZA VERA IPA SIX PACK, PATAGONIA, 2838 cm3
2|Topsy|7792798003945|CERVEZA VERA IPA SIX PACK, PATAGONIA, 2838 cm3
2|Bomba|7792798010882|CERVEZA S/RETORNO VERA IPA, PATAGONIA, 730 cm3
2|La Anonima|7792798010882|CERVEZA S/RETORNO VERA IPA, PATAGONIA, 730 cm3
2|Topsy|7792798010882|CERVEZA S/RETORNO VERA IPA, PATAGONIA, 730 cm3
9|Disco|7792798003938|cerveza PATAGONIA Vera Ipa 473cc LAT-473-cc.
9|Jumbo|7792798003938|cerveza PATAGONIA Vera Ipa 473cc LAT-473-cc.
9|Vea|7792798003938|cerveza PATAGONIA Vera Ipa 473cc LAT-473-cc.
9|Disco|7792798003945|cerveza PATAGONIA Vera Ipa 473cc 6un PCK-6-un.
9|Jumbo|7792798003945|cerveza PATAGONIA Vera Ipa 473cc 6un PCK-6-un.
9|Vea|7792798003945|cerveza PATAGONIA Vera Ipa 473cc 6un PCK-6-un.
9|Disco|7792798010882|cerveza PATAGONIA Vera Ipa 730cc BOT-730-cc.
9|Jumbo|7792798010882|cerveza PATAGONIA Vera Ipa 730cc BOT-730-cc.
9|Vea|7792798010882|cerveza PATAGONIA Vera Ipa 730cc BOT-730-cc.
10|Express|7792798003938|CERVEZA BLANCA VERA IPA PATAGONIA LATA X473CC
10|Hipermercado Carrefour|7792798003938|CERVEZA BLANCA VERA IPA PATAGONIA LATA X473CC
10|Market|7792798003938|CERVEZA BLANCA VERA IPA PATAGONIA LATA X473CC
10|Express|7792798003945|CERVEZA BLANCA VERA IPA PATAGONIA LATA 6 UNIX473CC
10|Hipermercado Carrefour|7792798003945|CERVEZA BLANCA VERA IPA PATAGONIA LATA 6 UNIX473CC
10|Market|7792798003945|CERVEZA BLANCA VERA IPA PATAGONIA LATA 6 UNIX473CC
10|Express|7792798010882|CERVEZA IPA OW VERA PATAGONIA X 730 CC
10|Hipermercado Carrefour|7792798010882|CERVEZA IPA OW VERA PATAGONIA X 730 CC
10|Market|7792798010882|CERVEZA IPA OW VERA PATAGONIA X 730 CC
12|COTO CICSA|7792798003945|CERVEZA VERA IPA 473 ML X 6 UNI PATAGONIA PAK 2838 ML
12|COTO CICSA|7792798010882|CERVEZA VERA IPA PATAGONIA BOT 730 CMQ
16|Hipermercado Libertad|7792798010882|CERVEZA PATAGONIA VERA IPA X 7
16|Mini Libertad|7792798010882|CERVEZA PATAGONIA VERA IPA X 7
16|Petit Libertad|7792798010882|CERVEZA PATAGONIA VERA IPA X 7
21|Toledo|7792798003938|CERVEZA VERA IPA NEW ENGL
21|Toledo|7792798010882|CERVEZA VERA IPA
2013|Mercado Libre|7792798003945|Cerveza Patagonia Vera Ipa Neipapajizo Lata 473 ml 6 Unidades
